pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142636243699000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,113863520,5.045,64,324.8855,-28,0,0.2.1
1776142644642901000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,122263520,5.045,64,324.8855,-28,0,0.2.1
1776142886486987000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2051498,4.87,146.174,713.2824,-27,0,0.2.1
1776142886585500000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2151493,5.04375,63.60916,320,-28,0,0.2.1
1776142886686005000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2251504,5.04125,63.60916,320,-27,0,0.2.1
1776142886786539000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2351550,5.045,63.51145,320,-27,0,0.2.1
1776142886986385000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2551527,4.875,146.5649,715.7252,-27,0,0.2.1
1776142887086414000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2651506,5.045,63.60916,320,-28,0,0.2.1
1776142887186435000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2751562,5.04375,63.70687,320,-28,0,0.2.1
1776142887286398000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2851511,5.04375,63.70687,320,-27,0,0.2.1
1776142887386393000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,2951533,5.04875,63.70687,320,-27,0,0.2.1
1776142887588687000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3151502,5.04375,63.80457,320,-27,0,0.2.1
1776142887686434000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3251558,5.0425,63.70687,320,-34,0,0.2.1
1776142887786365000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3351492,5.045,63.70687,320,-35,0,0.2.1
1776142888086290000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3651453,5.04625,63.70687,320,-27,0,0.2.1
1776142888186289000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3751558,5.04375,63.80457,320,-27,0,0.2.1
1776142888387680000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,3951512,5.04375,63.80457,320,-28,0,0.2.1
1776142888792131000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,4351467,5.04375,63.80457,320,-31,0,0.2.1
1776142889086044000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,4651434,5.0475,63.60916,320,-30,0,0.2.1
1776142889686137000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,5251488,5.0425,64,324.8855,-30,0,0.2.1
1776142890685796000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,6251434,5.04125,64,324.8855,-30,0,0.2.1
1776142890786182000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,6351560,5.0425,64,324.8855,-30,0,0.2.1
1776142891086394000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,6651459,5.05,64.19542,324.8855,-36,0,0.2.1
1776142891586285000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,7151471,5.04,64.9771,305.3435,-29,0,0.2.1
